Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GV","Emissions from Drained organic soils","012","Algeria","5026","Area","6727","Cropland organic soils","1990","1990","3050","FAO TIER 1","ha","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","7230","Emissions (N2O)","6727","Cropland organic soils","1990","1990","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","7273","Emissions (CO2)","6727","Cropland organic soils","1990","1990","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","5026","Area","6727","Cropland organic soils","1991","1991","3050","FAO TIER 1","ha","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","7230","Emissions (N2O)","6727","Cropland organic soils","1991","1991","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","7273","Emissions (CO2)","6727","Cropland organic soils","1991","1991","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","5026","Area","6727","Cropland organic soils","1992","1992","3050","FAO TIER 1","ha","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","7230","Emissions (N2O)","6727","Cropland organic soils","1992","1992","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","7273","Emissions (CO2)","6727","Cropland organic soils","1992","1992","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","5026","Area","6727","Cropland organic soils","1993","1993","3050","FAO TIER 1","ha","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","7230","Emissions (N2O)","6727","Cropland organic soils","1993","1993","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GV","Emissions from Drained organic soils","012","Algeria","7273","Emissions (CO2)","6727","Cropland organic soils","1993","1993","3050","FAO TIER 1","kt","0","E","Estimated value",""
