Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","1990","1990","3050","FAO TIER 1","1000 ha","1667","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1990","1990","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","1991","1991","3050","FAO TIER 1","1000 ha","1658.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1991","1991","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","1992","1992","3050","FAO TIER 1","1000 ha","1649.4","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1992","1992","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","1993","1993","3050","FAO TIER 1","1000 ha","1640.6","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1993","1993","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","1994","1994","3050","FAO TIER 1","1000 ha","1631.8","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1994","1994","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","1995","1995","3050","FAO TIER 1","1000 ha","1623","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1995","1995","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","1996","1996","3050","FAO TIER 1","1000 ha","1614.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1996","1996","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","1997","1997","3050","FAO TIER 1","1000 ha","1605.4","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1997","1997","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","1998","1998","3050","FAO TIER 1","1000 ha","1596.6","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1998","1998","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","1999","1999","3050","FAO TIER 1","1000 ha","1587.8","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1999","1999","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2000","2000","3050","FAO TIER 1","1000 ha","1579","E","Estimated value",""
