Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","1990","1990","TJ","440","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","1991","1991","TJ","850","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","1992","1992","TJ","938","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","1993","1993","TJ","1583","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","1994","1994","TJ","1583","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","1995","1995","TJ","1583","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","1996","1996","TJ","1583","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","1997","1997","TJ","2110","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","1998","1998","TJ","2242","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","1999","1999","TJ","2242","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2000","2000","TJ","2242","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2001","2001","TJ","2242","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2002","2002","TJ","3019","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2003","2003","TJ","2462","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2004","2004","TJ","2462","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2005","2005","TJ","2989","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2006","2006","TJ","2699","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2007","2007","TJ","2989","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2008","2008","TJ","1949","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2009","2009","TJ","2246","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2010","2010","TJ","2169","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2011","2011","TJ","674","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2012","2012","TJ","652","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2013","2013","TJ","918","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2014","2014","TJ","251","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2015","2015","TJ","283","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2016","2016","TJ","283","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2017","2017","TJ","484","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2018","2018","TJ","1032","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2019","2019","TJ","521","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2020","2020","TJ","493","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2021","2021","TJ","121","E","Estimated value"
"BE","Bioenergy","012","Algeria","5851","Energy consumption","6525","Fuelwood","2022","2022","TJ","115","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","1990","1990","TJ","440","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","1991","1991","TJ","850","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","1992","1992","TJ","938","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","1993","1993","TJ","1583","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","1994","1994","TJ","1583","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","1995","1995","TJ","1583","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","1996","1996","TJ","1583","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","1997","1997","TJ","2110","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","1998","1998","TJ","2242","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","1999","1999","TJ","2242","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2000","2000","TJ","2242","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2001","2001","TJ","2242","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2002","2002","TJ","3019","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2003","2003","TJ","2462","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2004","2004","TJ","2462","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2005","2005","TJ","2989","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2006","2006","TJ","2699","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2007","2007","TJ","2989","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2008","2008","TJ","1949","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2009","2009","TJ","2246","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2010","2010","TJ","2169","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2011","2011","TJ","674","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2012","2012","TJ","652","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2013","2013","TJ","918","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2014","2014","TJ","251","E","Estimated value"
"BE","Bioenergy","012","Algeria","5852","Energy production","6525","Fuelwood","2015","2015","TJ","292","E","Estimated value"
