Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5081","Nutrient balance","1961","1961","kg/ha","0.6741","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5081","Nutrient balance","1961","1961","kg/ha","0.6479","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5081","Nutrient balance","1961","1961","kg/ha","-0.0335","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7290","Cropland nitrogen use efficiency","5081","Nutrient balance","1961","1961","%","86.4894","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7291","Cropland phosphorus use efficiency","5081","Nutrient balance","1961","1961","%","59.7601","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7292","Cropland potassium use efficiency","5081","Nutrient balance","1961","1961","%","101.3299","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5081","Nutrient balance","1962","1962","kg/ha","-2.3116","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5081","Nutrient balance","1962","1962","kg/ha","-0.0548","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5081","Nutrient balance","1962","1962","kg/ha","-1.022","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7290","Cropland nitrogen use efficiency","5081","Nutrient balance","1962","1962","%","137.8375","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7291","Cropland phosphorus use efficiency","5081","Nutrient balance","1962","1962","%","103.2754","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7292","Cropland potassium use efficiency","5081","Nutrient balance","1962","1962","%","139.5844","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5081","Nutrient balance","1963","1963","kg/ha","-1.8822","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5081","Nutrient balance","1963","1963","kg/ha","-0.3477","E","Estimated value",""
