Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1961","1961","kg/ha","4.3155","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1961","1961","kg/ha","0.9622","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1961","1961","kg/ha","2.5555","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1962","1962","kg/ha","8.4208","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1962","1962","kg/ha","1.7266","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1962","1962","kg/ha","3.6037","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1963","1963","kg/ha","8.4965","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1963","1963","kg/ha","1.7431","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1963","1963","kg/ha","3.62","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1964","1964","kg/ha","6.1024","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1964","1964","kg/ha","1.2901","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1964","1964","kg/ha","2.8897","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1965","1965","kg/ha","6.936","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1965","1965","kg/ha","1.4513","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1965","1965","kg/ha","3.2686","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1966","1966","kg/ha","3.5859","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1966","1966","kg/ha","0.8132","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1966","1966","kg/ha","1.9426","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1967","1967","kg/ha","6.1041","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1967","1967","kg/ha","1.2823","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1967","1967","kg/ha","2.5811","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1968","1968","kg/ha","7.9382","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1968","1968","kg/ha","1.6609","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1968","1968","kg/ha","3.399","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1969","1969","kg/ha","7.0081","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1969","1969","kg/ha","1.4334","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1969","1969","kg/ha","3.0394","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1970","1970","kg/ha","7.5792","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1970","1970","kg/ha","1.5565","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1970","1970","kg/ha","3.2233","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1971","1971","kg/ha","6.6606","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1971","1971","kg/ha","1.4082","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1971","1971","kg/ha","3.0174","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1972","1972","kg/ha","7.9706","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7281","Cropland phosphorus per unit area","5080","Outputs","1972","1972","kg/ha","1.6574","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7283","Cropland potassium per unit area","5080","Outputs","1972","1972","kg/ha","3.0819","E","Estimated value",""
"ESB","Cropland Nutrient Balance","012","Algeria","7276","Cropland nitrogen per unit area","5080","Outputs","1973","1973","kg/ha","5.8295","E","Estimated value",""
